kommune;kommunenavn;aargang;funksjon;eid_areal_m2;portefoljeareal_m2;drift_kr;energi_kr;renhold_kr;vedlikehold_kr;forvaltning_kr;drift_kr_m2;energi_kr_m2;renhold_kr_m2;ovrig_drift_kr_m2;vedlikehold_kr_m2;forvaltning_kr_m2;dv_kr_m2;fdv_kr_m2;energibruk_kwh;kwh_m2;fornybarandel;implisitt_energipris_kr_kwh;flagg_kostnad;flagg_energi
0301;Oslo - Oslove;2024;130;46896.0;2304158.0;33824000.0;8800000.0;8779000.0;24117000.0;384471000.0;721.2555441828728;187.64926646195838;187.20146707608325;346.4048106448311;514.2656090071648;166.8596511176751;1235.5211531900375;1402.3808043077127;7299000.0;155.6422722620266;1.0;1.2056446088505275;;
1101;Eigersund;2024;130;2877.0;49955.0;1666000.0;558000.0;498000.0;340000.0;12256000.0;579.0754257907543;193.95203336809178;173.09697601668404;212.02641640597844;118.17865832464372;245.34080672605344;697.254084115398;942.5948908414514;465000.0;161.6266944734098;1.0;1.2000000000000002;;
1103;Stavanger;2024;130;21981.0;630781.0;43010000.0;5120000.0;19563000.0;4607000.0;114272000.0;1956.6898685228152;232.92843819662437;889.9959055547973;833.7655247713935;209.59010054137664;181.1595466572392;2166.279969064192;2347.4395157214312;2634000.0;119.83076293162277;1.0;1.9438116932422171;;
1106;Haugesund;2024;130;8197.0;140918.0;11311000.0;3029000.0;2672000.0;2707000.0;4248000.0;1379.8950835671587;369.5254361351714;325.9729169208247;684.3967305111627;330.24277174576065;30.145190820193303;1710.1378553129193;1740.2830461331125;882000.0;107.600341588386;1.0;3.4342403628117912;;implisitt_pris_utenfor
1108;Sandnes;2024;130;14775.0;326683.0;17955000.0;2162000.0;3634000.0;523000.0;34504000.0;1215.228426395939;146.32825719120135;245.9560067681895;822.9441624365483;35.397631133671744;105.6192088354766;1250.6260575296108;1356.2452663650874;3389000.0;229.37394247038918;1.0;0.6379462968427264;;
1111;Sokndal;2024;130;3800.0;22443.0;3548000.0;635000.0;1052000.0;275000.0;664000.0;933.6842105263158;167.10526315789474;276.8421052631579;489.7368421052632;72.36842105263158;29.58606246936684;1006.0526315789474;1035.6386940483142;669000.0;176.05263157894737;1.0;0.9491778774289985;;
1112;Lund;2024;130;2238.0;23592.0;702000.0;332000.0;98000.0;14000.0;660000.0;313.6729222520107;148.3467381590706;43.78909740840036;121.53708668453977;6.255585344057194;27.97558494404883;319.9285075960679;347.9040925401167;300000.0;134.04825737265415;1.0;1.106666666666667;renhold_urimelig_lav;
1114;Bjerkreim;2024;130;1772.0;18151.0;1913000.0;356000.0;294000.0;31000.0;0.0;1079.571106094808;200.90293453724604;165.91422121896161;712.7539503386005;17.494356659142213;0.0;1097.0654627539504;1097.0654627539504;208000.0;117.38148984198645;1.0;1.7115384615384615;;
1119;Hå;2024;130;7075.0;87311.0;8242000.0;1640000.0;2533000.0;2127000.0;3996000.0;1164.946996466431;231.80212014134275;358.02120141342755;575.1236749116608;300.63604240282683;45.76742907537424;1465.583038869258;1511.350467944632;768000.0;108.55123674911661;1.0;2.1354166666666665;;
1120;Klepp;2024;130;370.0;87430.0;108000.0;282000.0;82000.0;79000.0;6440000.0;291.8918918918919;762.1621621621622;221.6216216216216;-691.8918918918919;213.51351351351352;73.65892714171338;505.4054054054054;579.0643325471187;49000.0;132.43243243243242;1.0;5.755102040816327;areal_for_lite|drift_mindre_enn_delposter;areal_for_lite|implisitt_pris_utenfor
1121;Time;2024;130;7660.0;91820.0;1918000.0;489000.0;450000.0;146000.0;9212000.0;250.3916449086162;63.838120104438644;58.746736292428196;127.80678851174935;19.06005221932115;100.32672620344151;269.45169712793734;369.77842333137886;909000.0;118.66840731070496;0.9625962596259626;0.5379537953795379;;
1122;Gjesdal;2024;130;7216.0;57995.0;3270000.0;636000.0;816000.0;852000.0;3375000.0;453.159645232816;88.13747228381375;113.0820399113082;251.940133037694;118.0709534368071;58.194671954478835;571.2305986696231;629.4252706241019;842000.0;116.68514412416852;1.0;0.7553444180522565;;
1124;Sola;2024;130;35044.0;177461.0;15751000.0;3822000.0;2747000.0;2118000.0;15460000.0;449.46353156032416;109.0628923638854;78.38717041433627;262.0134687821025;60.43830612943728;87.1177329103296;509.90183768976146;597.019570600091;3736000.0;106.60883460792147;0.9839400428265525;1.0230192719486082;;
1127;Randaberg;2024;130;7310.0;71912.0;2912000.0;221000.0;1454000.0;1128000.0;2823000.0;398.3584131326949;30.232558139534884;198.90560875512995;169.2202462380301;154.3091655266758;39.25631327177661;552.6675786593707;591.9238919311474;718000.0;98.22161422708618;1.0;0.30779944289693595;energi_urimelig_lav;implisitt_pris_utenfor
1130;Strand;2024;130;3459.0;67306.0;3673000.0;824000.0;694000.0;187000.0;4633000.0;1061.8675917895346;238.21913847932927;200.6360219716681;623.0124313385371;54.061867591789536;68.8348735625353;1115.929459381324;1184.7643329438592;616000.0;178.0861520670714;1.0;1.3376623376623378;;
1133;Hjelmeland;2024;130;2738.0;26169.0;2799000.0;514000.0;-1956000.0;449000.0;2554000.0;1022.2790357925493;187.72826880934988;-714.3900657414171;1548.9408327246165;163.9883126369613;97.59639267835989;1186.2673484295105;1283.8637411078705;345000.0;126.00438276113952;1.0;1.489855072463768;renhold_urimelig_lav;
1134;Suldal;2024;130;3439.0;38732.0;3283000.0;820000.0;819000.0;647000.0;1021000.0;954.6379761558593;238.441407385868;238.1506251817389;478.0459435882524;188.13608607153242;26.36063203552618;1142.7740622273916;1169.1346942629177;749000.0;217.79587089270137;1.0;1.0947930574098799;;
1135;Sauda;2024;130;960.0;26048.0;1130000.0;269000.0;443000.0;66000.0;571000.0;1177.0833333333333;280.2083333333333;461.4583333333333;435.4166666666667;68.75;21.921068796068795;1245.8333333333333;1267.754402129402;906000.0;943.75;1.0;0.29690949227373065;;kwh_urimelig_hoy|implisitt_pris_utenfor
1144;Kvitsøy;2024;130;363.0;6644.0;839000.0;203000.0;103000.0;71000.0;258000.0;2311.2947658402204;559.228650137741;283.7465564738292;1468.3195592286502;195.5922865013774;38.832028898254066;2506.8870523415976;2545.7190812398517;118000.0;325.06887052341597;1.0;1.7203389830508475;areal_for_lite;areal_for_lite
1145;Bokn;2024;130;1600.0;11203.0;700000.0;206000.0;25000.0;19000.0;559000.0;437.5;128.75;15.625;293.125;11.875;49.89734892439525;449.375;499.27234892439526;222000.0;138.75;1.0;0.9279279279279279;renhold_urimelig_lav;
1146;Tysvær;2024;130;6200.0;64609.0;905000.0;278000.0;261000.0;142000.0;7517000.0;145.96774193548387;44.83870967741935;42.096774193548384;59.03225806451613;22.903225806451612;116.34601990434768;168.8709677419355;285.2169876462832;7913000.0;1276.2903225806451;1.0;0.03513206116517124;drift_urimelig_lav|renhold_urimelig_lav;kwh_urimelig_hoy|implisitt_pris_utenfor
1149;Karmøy;2024;130;9077.0;184252.0;4026000.0;1678000.0;737000.0;1759000.0;9204000.0;443.5386140795417;184.8628401454225;81.19422716756638;177.48154676655284;193.78649333480226;49.953324794303455;637.325107414344;687.2784322086475;950000.0;104.66012999889831;1.0;1.7663157894736843;;
1151;Utsira;2024;130;64.0;2713.0;654000.0;214000.0;168000.0;68000.0;156000.0;10218.75;3343.75;2625.0;4250.0;1062.5;57.500921489126426;11281.25;11338.750921489127;127000.0;1984.375;1.0;1.68503937007874;areal_for_lite;areal_for_lite|kwh_urimelig_hoy
1160;Vindafjord;2024;130;6267.0;55866.0;2966000.0;921000.0;709000.0;475000.0;2575000.0;473.2726982607308;146.9602680708473;113.13228019786182;213.1801499920217;75.79384075315143;46.09243547059034;549.0665390138822;595.1589744844725;860000.0;137.22674325833734;1.0;1.0709302325581394;;
1505;Kristiansund;2024;130;8172.0;115530.0;6155000.0;1305000.0;1260000.0;278000.0;15617000.0;753.1815956926089;159.69162995594715;154.1850220264317;439.3049437102301;34.01860009789525;135.17701030035488;787.2001957905042;922.3772060908591;1055000.0;129.09936368086147;1.0;1.23696682464455;;
1506;Molde;2024;130;3472.0;168029.0;8338000.0;1464000.0;2732000.0;1053000.0;9140000.0;2401.4976958525344;421.6589861751152;786.8663594470046;1192.9723502304148;303.2834101382488;54.39537222741313;2704.7811059907835;2759.1764782181967;347000.0;99.94239631336406;1.0;4.219020172910663;;implisitt_pris_utenfor
1508;Ålesund;2024;130;2983.0;216104.0;14661000.0;596000.0;3924000.0;4555000.0;5496000.0;4914.850821320818;199.79886020784446;1315.4542406972846;3399.597720415689;1526.986255447536;25.432199311442638;6441.837076768354;6467.269276079796;353000.0;118.33724438484747;1.0;1.688385269121813;DV_uteligger_hoy;
1511;Vanylven;2024;130;1800.0;23544.0;549000.0;175000.0;490000.0;299000.0;18000.0;305.0;97.22222222222223;272.22222222222223;-64.44444444444444;166.11111111111111;0.764525993883792;471.1111111111111;471.8756371049949;185000.0;102.77777777777777;1.0;0.945945945945946;drift_mindre_enn_delposter;
1514;Sande;2024;130;1607.0;23289.0;1360000.0;221000.0;444000.0;40000.0;301000.0;846.2974486621033;137.5233354075918;276.2912258867455;432.482887367766;24.891101431238333;12.924556657649534;871.1885500933416;884.1131067509912;190000.0;118.23273179838208;1.0;1.1631578947368422;;
1515;Herøy (Møre og Romsdal);2024;130;6510.0;47862.0;1441000.0;423000.0;541000.0;157000.0;3629000.0;221.35176651305684;64.97695852534562;83.10291858678956;73.27188940092167;24.116743471582183;75.82215536333626;245.468509984639;321.2906653479753;641000.0;98.46390168970814;1.0;0.6599063962558502;;
1516;Ulstein;2024;130;5721.0;51974.0;2007000.0;223000.0;262000.0;481000.0;7004000.0;350.81279496591503;38.979199440657226;45.796189477364095;266.03740604789374;84.07621045271806;134.75968753607572;434.88900541863313;569.6486929547088;660000.0;115.36444677503933;1.0;0.3378787878787879;energi_urimelig_lav|renhold_urimelig_lav;implisitt_pris_utenfor
1520;Ørsta;2024;130;8557.0;71507.0;2586000.0;571000.0;747000.0;268000.0;3883000.0;302.2087180086479;66.72899380624051;87.2969498656071;148.1827743368003;31.319387635853687;54.3023759911617;333.5281056445016;387.83048163566326;731000.0;85.42713567839196;1.0;0.7811217510259918;;
1525;Stranda;2024;130;1250.0;31168.0;1380000.0;392000.0;597000.0;18000.0;568000.0;1104.0;313.6;477.6;312.8;14.4;18.22381930184805;1118.4;1136.6238193018482;486000.0;388.8;1.0;0.8065843621399177;;
1528;Sykkylven;2024;130;1457.0;31114.0;3404000.0;193000.0;670000.0;110000.0;2555000.0;2336.3074811256006;132.46396705559368;459.84900480439256;1743.9945092656142;75.49759780370624;82.11737481519573;2411.805078929307;2493.922453744503;219000.0;150.308853809197;1.0;0.8812785388127853;;
1531;Sula;2024;130;3682.0;57190.0;819000.0;278000.0;186000.0;95000.0;5345000.0;222.43346007604563;75.5024443237371;50.51602390005432;96.4149918522542;25.801195002715914;93.46039517398147;248.23465507876153;341.695050252743;366000.0;99.40249864204237;1.0;0.7595628415300546;;
1532;Giske;2024;130;5176.0;42930.0;2483000.0;483000.0;587000.0;503000.0;3647000.0;479.71406491499226;93.31530139103555;113.4080370942813;272.9907264296754;97.17928902627511;84.95224784532961;576.8933539412674;661.845601786597;963000.0;186.05100463678517;1.0;0.5015576323987538;;
1535;Vestnes;2024;130;6231.0;43894.0;1448000.0;574000.0;377000.0;179000.0;7376000.0;232.38645482266088;92.12004493660729;60.50393195313754;79.76247793291607;28.727331086502968;168.04119013988245;261.1137859091639;429.15497604904635;830000.0;133.2049430268015;1.0;0.6915662650602409;;
1539;Rauma;2024;130;6407.0;53750.0;3087000.0;883000.0;857000.0;268000.0;3400000.0;481.8167629155611;137.81801154986732;133.75995005462775;210.23880131106603;41.82924925862338;63.25581395348837;523.6460121741845;586.9018261276728;1011000.0;157.79616044950836;1.0;0.873392680514342;;
1547;Aukra;2024;130;1793.0;32287.0;972000.0;273000.0;213000.0;38000.0;1371000.0;542.1081985499163;152.25878416062466;118.79531511433352;271.05409927495816;21.193530395984382;42.46291076904017;563.3017289459008;605.7646397149409;313000.0;174.56776352481873;1.0;0.8722044728434506;;
1554;Averøy;2024;130;1909.0;24793.0;1952000.0;249000.0;434000.0;485000.0;2346000.0;1022.5248821372446;130.43478260869566;227.34415924567836;664.7459402828706;254.0597171293871;94.62348243455814;1276.5845992666318;1371.20808170119;166000.0;86.95652173913044;1.0;1.5;;
1557;Gjemnes;2024;130;1260.0;18425.0;1121000.0;279000.0;335000.0;46000.0;1396000.0;889.6825396825396;221.42857142857142;265.87301587301585;402.3809523809524;36.507936507936506;75.76662143826323;926.1904761904761;1001.9570976287393;316000.0;250.79365079365078;1.0;0.8829113924050632;;
1560;Tingvoll;2024;130;1215.0;25783.0;1582000.0;368000.0;683000.0;26000.0;3270000.0;1302.0576131687242;302.880658436214;562.1399176954733;437.037037037037;21.39917695473251;126.8277547221037;1323.4567901234568;1450.2845448455605;169000.0;139.09465020576133;1.0;2.1775147928994083;;
1563;Sunndal;2024;130;3700.0;48587.0;1454000.0;333000.0;473000.0;334000.0;4557000.0;392.97297297297297;90.0;127.83783783783784;175.13513513513513;90.27027027027027;93.7905200979686;483.2432432432432;577.0337633412119;444000.0;120.0;1.0;0.75;;
1566;Surnadal;2024;130;3960.0;32375.0;5754000.0;507000.0;1668000.0;139000.0;2220000.0;1453.030303030303;128.03030303030303;421.2121212121212;903.7878787878788;35.101010101010104;68.57142857142857;1488.1313131313132;1556.7027417027418;402000.0;101.51515151515152;1.0;1.2611940298507462;;
1573;Smøla;2024;130;1890.0;15864.0;1048000.0;194000.0;261000.0;104000.0;0.0;554.4973544973545;102.64550264550265;138.0952380952381;313.7566137566138;55.026455026455025;0.0;609.5238095238095;609.5238095238095;;;;;;kwh_mangler
1576;Aure;2024;130;2230.0;24011.0;8767000.0;365000.0;405000.0;588000.0;0.0;3931.390134529148;163.67713004484304;181.61434977578475;3586.0986547085204;263.67713004484307;0.0;4195.067264573991;4195.067264573991;293000.0;131.39013452914799;1.0;1.2457337883959043;DV_uteligger_hoy;
1577;Volda;2024;130;0.0;0.0;1676000.0;483000.0;807000.0;453000.0;12912000.0;;;;;;;;;697000.0;;1.0;;areal_mangler;areal_mangler
1578;Fjord;2024;130;3507.0;31790.0;1719000.0;383000.0;92000.0;146000.0;0.0;490.16253207869977;109.21015112631879;26.23324779013402;354.7191331622469;41.63102366695181;0.0;531.7935557456516;531.7935557456516;453000.0;129.17023096663814;1.0;0.8454746136865343;renhold_urimelig_lav;
1580;Haram;2024;130;945.0;50238.0;2584000.0;652000.0;702000.0;134000.0;3404000.0;2734.3915343915346;689.9470899470899;742.8571428571429;1301.5873015873017;141.7989417989418;67.75747442175246;2876.190476190476;2943.9479506122284;105000.0;111.11111111111111;1.0;6.209523809523809;;implisitt_pris_utenfor
1804;Bodø;2024;130;20731.0;243147.0;6937000.0;1694000.0;2115000.0;24000.0;27232000.0;334.6196517292943;81.71337610342;102.02112777965365;150.88514784622063;1.1576865563648642;111.99809168938954;335.77733828565914;447.77542997504867;2871000.0;138.48825430514688;1.0;0.5900383141762452;;
1806;Narvik;2024;130;12110.0;123039.0;7657000.0;1020000.0;62000.0;329000.0;11338000.0;632.2873658133774;84.2279108175062;5.119735755573906;542.9397192402972;27.167630057803468;92.149643608937;659.4549958711808;751.6046394801178;3175000.0;262.18001651527663;1.0;0.32125984251968503;renhold_urimelig_lav;implisitt_pris_utenfor
1811;Bindal;2024;130;2668.0;12497.0;1557000.0;262000.0;667000.0;447000.0;406000.0;583.5832083958021;98.20089955022489;250.0;235.3823088455772;167.54122938530733;32.48779707129711;751.1244377811095;783.6122348524066;305000.0;114.31784107946027;1.0;0.859016393442623;;
1812;Sømna;2024;130;1202.0;15834.0;1169000.0;122000.0;351000.0;58000.0;0.0;972.5457570715474;101.49750415973378;292.01331114808653;579.0349417637271;48.25291181364393;0.0;1020.7986688851913;1020.7986688851913;159000.0;132.27953410981698;1.0;0.7672955974842767;;
1813;Brønnøy;2024;130;5317.0;46564.0;1779000.0;390000.0;653000.0;198000.0;5075000.0;334.5871732179801;73.34963325183374;122.81361670114727;138.42392326499905;37.2390445740079;108.98977751052315;371.826217791988;480.8159953025111;623000.0;117.17133722023698;1.0;0.6260032102728732;;
1815;Vega;2024;130;1700.0;12500.0;596000.0;181000.0;0.0;204000.0;0.0;350.5882352941176;106.47058823529412;0.0;244.11764705882354;120.0;0.0;470.5882352941176;470.5882352941176;;;;;renhold_urimelig_lav;kwh_mangler
1816;Vevelstad;2024;130;1070.0;5749.0;367000.0;120000.0;0.0;159000.0;0.0;342.9906542056075;112.14953271028037;0.0;230.84112149532712;148.5981308411215;0.0;491.58878504672896;491.58878504672896;204000.0;190.65420560747663;1.0;0.5882352941176471;renhold_urimelig_lav;
1818;Herøy (Nordland);2024;130;1811.0;13648.0;1252000.0;237000.0;210000.0;423000.0;715000.0;691.3307564881281;130.86692435118718;115.95803423522915;444.5057979017118;233.57261181667587;52.38862837045721;924.903368304804;977.2919966752612;307000.0;169.51960242959692;1.0;0.771986970684039;;
1820;Alstahaug;2024;130;9900.0;50792.0;4289000.0;795000.0;629000.0;1440000.0;3722000.0;433.2323232323232;80.3030303030303;63.535353535353536;289.3939393939394;145.45454545454547;73.27925657583872;578.6868686868687;651.9661252627075;1168000.0;117.97979797979798;1.0;0.6806506849315068;;
1822;Leirfjord;2024;130;1707.0;18895.0;1413000.0;203000.0;83000.0;154000.0;435000.0;827.7680140597539;118.9220855301699;48.62331575864089;660.2226127709432;90.21675454012887;23.021963482402754;917.9847685998828;941.0067320822856;378000.0;221.44112478031636;1.0;0.537037037037037;renhold_urimelig_lav;
1824;Vefsn;2024;130;7293.0;74693.0;4870000.0;779000.0;856000.0;425000.0;6193000.0;667.7636089400795;106.8147538735774;117.3728232551762;443.57603181132595;58.27505827505828;82.9127227451033;726.0386672151378;808.9513899602412;1130000.0;154.94309611956672;1.0;0.6893805309734513;;
1825;Grane;2024;130;2200.0;8950.0;1211000.0;163000.0;184000.0;268000.0;0.0;550.4545454545455;74.0909090909091;83.63636363636364;392.72727272727275;121.81818181818181;0.0;672.2727272727273;672.2727272727273;522000.0;237.27272727272728;1.0;0.31226053639846746;;implisitt_pris_utenfor
1826;Hattfjelldal - Aarborte;2024;130;3057.0;14708.0;811000.0;215000.0;224000.0;69000.0;615000.0;265.2927706902192;70.33038927052667;73.27445207719987;121.68792934249264;22.571148184494604;41.813978787054666;287.86391887471376;329.67789766176844;710000.0;232.25384363755316;1.0;0.30281690140845074;;implisitt_pris_utenfor
