kommune;kommunenavn;aargang;funksjon;eid_areal_m2;portefoljeareal_m2;drift_kr;energi_kr;renhold_kr;vedlikehold_kr;forvaltning_kr;drift_kr_m2;energi_kr_m2;renhold_kr_m2;ovrig_drift_kr_m2;vedlikehold_kr_m2;forvaltning_kr_m2;dv_kr_m2;fdv_kr_m2;energibruk_kwh;kwh_m2;fornybarandel;implisitt_energipris_kr_kwh;flagg_kostnad;flagg_energi
0301;Oslo - Oslove;2023;222;1102824.0;2301233.0;1098038000.0;200980000.0;212166000.0;790956000.0;292785000.0;995.6602322764104;182.2412279747267;192.38427890579095;621.0347253958927;717.209636351766;127.2296199472196;1712.8698686281764;1840.099488575396;148571000.0;134.71868584651767;1.0;1.352753902174718;DV_uteligger_hoy;
1101;Eigersund;2023;222;29905.0;46878.0;19527000.0;4302000.0;8037000.0;869000.0;9696000.0;652.9677311486373;143.8555425514128;268.75104497575654;240.361143621468;29.058685838488547;206.83476257519519;682.0264169871259;888.8611795623211;2743000.0;91.72379200802541;1.0;1.5683558148013126;;
1103;Stavanger;2023;222;282321.0;643220.0;174505000.0;49410000.0;53416000.0;52786000.0;101469000.0;618.1084651867909;175.01354840766362;189.20307026399027;253.89184651513702;186.9715678252769;157.75162463853735;805.0800330120678;962.8316576506052;31816000.0;112.6944152223887;1.0;1.5529922051797838;;
1106;Haugesund;2023;222;63164.0;135720.0;27143000.0;10109000.0;8237000.0;5027000.0;3174000.0;429.72262681274145;160.04369577607497;130.40656069913243;139.27237033753403;79.58647330758026;23.386383731211318;509.3091001203217;532.695483851533;8501000.0;134.58615667152176;0.69556522762028;1.1891542171509233;;
1108;Sandnes;2023;222;172212.0;322126.0;108151000.0;23123000.0;31866000.0;16744000.0;33685000.0;628.0108238682554;134.27055025201497;185.03937007874015;308.70090353750027;97.22899681787564;104.57088220137462;725.239820686131;829.8107028875056;19057000.0;110.6601166004692;0.938185443668993;1.2133599202392822;;
1111;Sokndal;2023;222;8856.0;22443.0;6268000.0;2351000.0;2155000.0;731000.0;850000.0;707.7687443541103;265.46973803071364;243.33785004516713;198.96115627822945;82.54290876242096;37.87372454662924;790.3116531165311;828.1853776631604;1675000.0;189.13730803974707;1.0;1.4035820895522388;;
1112;Lund;2023;222;8350.0;23592.0;7479000.0;1946000.0;1291000.0;72000.0;87000.0;895.688622754491;233.05389221556885;154.61077844311376;508.0239520958084;8.622754491017965;3.6876907426246186;904.311377245509;907.9990679881336;1172000.0;140.35928143712576;1.0;1.660409556313993;;
1114;Bjerkreim;2023;222;9933.0;18151.0;6267000.0;1201000.0;1798000.0;25000.0;766000.0;630.9272123225611;120.9100976542837;181.01278566394845;329.004329004329;2.516862981979261;42.20153159605531;633.4440753045404;675.6456069005958;939000.0;94.53337360314104;1.0;1.2790202342917998;;
1119;Hå;2023;222;42225.0;87311.0;26364000.0;6058000.0;8029000.0;4020000.0;2301000.0;624.3694493783304;143.46950858496152;190.1480165778567;290.75192421551213;95.20426287744228;26.354067643252282;719.5737122557726;745.9277798990249;4678000.0;110.78744819419775;0.8249251817015819;1.294997862334331;;
1120;Klepp;2023;222;48483.0;90439.0;27878000.0;5824000.0;8730000.0;4939000.0;2465000.0;575.0056720912485;120.12457974960296;180.0631149062558;274.8179774353897;101.87075882268012;27.25594046816086;676.8764309139286;704.1323713820894;5229000.0;107.85223686653053;0.9365079365079365;1.1137884872824633;;
1121;Time;2023;222;49858.0;88298.0;28143000.0;5588000.0;11547000.0;2329000.0;8583000.0;564.4630751333788;112.07830237875567;231.59773757471217;220.78703517991096;46.71266396566248;97.20491970373055;611.1757390990413;708.3806588027718;4800000.0;96.27341650286814;1.0;1.1641666666666666;;
1122;Gjesdal;2023;222;32551.0;57995.0;21007000.0;3337000.0;7332000.0;2402000.0;3787000.0;645.3565174649012;102.51605173420171;225.2465362047249;317.5939295259746;73.79189579429203;65.29873264936633;719.1484132591933;784.4471459085596;3211000.0;98.64520291235293;1.0;1.039240112114606;;
1124;Sola;2023;222;79392.0;185461.0;34768000.0;11349000.0;10234000.0;5544000.0;19456000.0;437.92825473599356;142.94891172914149;128.90467553405884;166.07466747279324;69.83071342200725;104.90615277605535;507.7589681580008;612.6651209340562;7374000.0;92.88089480048367;0.9321941958231624;1.5390561432058585;;
