kommune;kommunenavn;aargang;funksjon;eid_areal_m2;portefoljeareal_m2;drift_kr;energi_kr;renhold_kr;vedlikehold_kr;forvaltning_kr;drift_kr_m2;energi_kr_m2;renhold_kr_m2;ovrig_drift_kr_m2;vedlikehold_kr_m2;forvaltning_kr_m2;dv_kr_m2;fdv_kr_m2;energibruk_kwh;kwh_m2;fornybarandel;implisitt_energipris_kr_kwh;flagg_kostnad;flagg_energi
0301;Oslo - Oslove;2023;381;251558.0;2301233.0;321668000.0;74756000.0;25590000.0;178792000.0;292785000.0;1278.703122142806;297.1720239467638;101.72604329816583;879.8050548978764;710.7386765676305;127.2296199472196;1989.4417987104366;2116.6714186576564;51790000.0;205.8769746937088;0.9783548947673296;1.4434446804402394;;
1101;Eigersund;2023;381;4631.0;46878.0;8258000.0;1953000.0;998000.0;665000.0;9696000.0;1783.2001727488664;421.7231699416973;215.50421075361692;1145.9727920535522;143.59749514143815;206.83476257519519;1926.7976678903044;2133.6324304654995;1317000.0;284.38782120492334;1.0;1.4829157175398635;;
1103;Stavanger;2023;381;101838.0;643220.0;86949000.0;21365000.0;4675000.0;13996000.0;101469000.0;853.7972073292877;209.7939865276223;45.906243249081875;598.0969775525836;137.43396374634224;157.75162463853735;991.23117107563;1148.9827957141674;12563000.0;123.36259549480548;0.9972140412321898;1.7006288306933057;renhold_urimelig_lav;
1106;Haugesund;2023;381;22991.0;135720.0;20136000.0;5057000.0;1162000.0;3124000.0;3174000.0;875.8209734243835;219.9556348136227;50.541516245487365;605.3238223652734;135.87925710060458;23.386383731211318;1011.700230524988;1035.0866142561993;3568000.0;155.19116175894916;0.5350336322869955;1.4173206278026904;;
1108;Sandnes;2023;381;37533.0;322126.0;57407000.0;5689000.0;3400000.0;2720000.0;33685000.0;1529.507366850505;151.57328217834973;90.5869501505342;1287.347134521621;72.46956012042736;104.57088220137462;1601.9769269709323;1706.5478091723069;4946000.0;131.77736924839473;0.9729073999191266;1.1502224019409626;;
1111;Sokndal;2023;381;612.0;22443.0;9000.0;0.0;0.0;0.0;850000.0;14.705882352941176;0.0;0.0;14.705882352941176;0.0;37.87372454662924;14.705882352941176;52.579606899570415;0.0;0.0;;;drift_urimelig_lav|energi_urimelig_lav|renhold_urimelig_lav;kwh_null|kwh_urimelig_lav
1112;Lund;2023;381;2550.0;23592.0;4448000.0;887000.0;639000.0;32000.0;87000.0;1744.313725490196;347.84313725490193;250.58823529411765;1145.8823529411766;12.549019607843137;3.6876907426246186;1756.862745098039;1760.5504358406638;712000.0;279.2156862745098;1.0;1.2457865168539326;;
1114;Bjerkreim;2023;381;0.0;18151.0;383000.0;68000.0;0.0;196000.0;766000.0;;;;;;;;;0.0;;;;areal_mangler;areal_mangler|kwh_mangler
1119;Hå;2023;381;0.0;87311.0;0.0;0.0;0.0;0.0;2301000.0;;;;;;;;;0.0;;;;areal_mangler|drift_null;areal_mangler|kwh_mangler
1120;Klepp;2023;381;11796.0;90439.0;9951000.0;1225000.0;869000.0;2036000.0;2465000.0;843.5910478128179;103.84876229230248;73.66904035266192;666.0732451678535;172.60088165479823;27.25594046816086;1016.1919294676161;1043.447869935777;1619000.0;137.24991522550016;0.9567634342186535;0.7566399011735641;;
