kommune;kommunenavn;aargang;funksjon;eid_areal_m2;portefoljeareal_m2;drift_kr;energi_kr;renhold_kr;vedlikehold_kr;forvaltning_kr;drift_kr_m2;energi_kr_m2;renhold_kr_m2;ovrig_drift_kr_m2;vedlikehold_kr_m2;forvaltning_kr_m2;dv_kr_m2;fdv_kr_m2;energibruk_kwh;kwh_m2;fornybarandel;implisitt_energipris_kr_kwh;flagg_kostnad;flagg_energi
0301;Oslo - Oslove;2025;222;1120272.0;2389079.0;1240205000.0;144253000.0;247689000.0;441831000.0;389503000.0;1107.057036148364;128.76604967365068;221.09719782338576;757.1937886513275;394.3961823557136;163.03479290555063;1501.4532185040775;1664.4880114096281;143482000.0;128.07782395703902;1.0;1.0053734963270653;;
1101;Eigersund;2025;222;33601.0;53730.0;20589000.0;3439000.0;8802000.0;1993000.0;11285000.0;612.7496205470076;102.34814440046428;261.95648939019674;248.44498675634654;59.31371090146126;210.0316396798809;672.0633314484688;882.0949711283497;2740000.0;81.54519210737776;1.0;1.255109489051095;;
1103;Stavanger;2025;222;308255.0;691046.0;190928000.0;43861000.0;59439000.0;29819000.0;116727000.0;619.3833027850319;142.28804074548668;192.82412288527357;284.2711391542716;96.734846150103;168.9135021402338;716.1181489351349;885.0316510753687;27693000.0;89.83795883278455;1.0;1.5838298486982267;;
1106;Haugesund;2025;222;68010.0;144870.0;31966000.0;10306000.0;10577000.0;3489000.0;1003000.0;470.0191148360535;151.5365387443023;155.5212468754595;162.96132921629172;51.30127922364358;6.923448609097812;521.3203940596972;528.243842668795;7964000.0;117.10042640788119;0.7014063284781517;1.2940733299849323;;
1108;Sandnes;2025;222;184962.0;375026.0;121640000.0;20730000.0;33354000.0;24190000.0;34018000.0;657.6485980904185;112.07707529114089;180.32893242936387;365.24259036991384;130.78362041932937;90.7083775524897;788.4322185097479;879.1405960622376;18048000.0;97.5767995588283;0.9736812943262412;1.1486037234042554;;
1111;Sokndal;2025;222;8856.0;22443.0;6025000.0;1567000.0;2095000.0;333000.0;1396000.0;680.3297199638663;176.94218608852756;236.5627822944896;266.8247515808491;37.60162601626016;62.20202290246402;717.9313459801265;780.1333688825905;1139000.0;128.613369467028;1.0;1.3757682177348551;;
1112;Lund;2025;222;8350.0;23592.0;7477000.0;1546000.0;1645000.0;605000.0;830000.0;895.4491017964071;185.14970059880238;197.00598802395209;513.2934131736527;72.45508982035928;35.181417429637165;967.9041916167664;1003.0856090464035;1092000.0;130.77844311377245;1.0;1.4157509157509156;;
1114;Bjerkreim;2025;222;10075.0;16355.0;6312000.0;1310000.0;2119000.0;63000.0;0.0;626.5012406947891;130.02481389578165;210.32258064516128;286.15384615384613;6.253101736972705;0.0;632.7543424317618;632.7543424317618;927000.0;92.00992555831266;1.0;1.413160733549083;;
1119;Hå;2025;222;42225.0;87711.0;26051000.0;5394000.0;8673000.0;4870000.0;4768000.0;616.9567791592658;127.74422735346359;205.39964476021314;283.8129070455891;115.33451746595618;54.360342488399404;732.291296625222;786.6516391136214;4588000.0;108.65600947306098;0.8535309503051438;1.1756756756756757;;
1120;Klepp;2025;222;52328.0;87369.0;34139000.0;5780000.0;11442000.0;6092000.0;8764000.0;652.4040666564746;110.45711664883045;218.6592264179789;323.2877235896652;116.41950772053202;100.31017866749076;768.8235743770066;869.1337530444973;5138000.0;98.18835040513683;0.9383028415725964;1.1249513429349942;;
1121;Time;2025;222;48858.0;92117.0;29747000.0;5705000.0;11215000.0;1875000.0;10233000.0;608.8460436366613;116.7669573048426;229.54275655982644;262.5363297719923;38.376519710180524;111.08698720105953;647.2225633468419;758.3095505479014;4041000.0;82.70907527938107;1.0;1.4117792625587726;;
1122;Gjesdal;2025;222;32015.0;57459.0;25470000.0;5928000.0;7434000.0;1527000.0;4207000.0;795.5645791035452;185.16320474777447;232.2036545369358;378.1977198188349;47.69639231610183;73.2174245984093;843.260971419647;916.4783960180563;2608000.0;81.46181477432454;1.0;2.273006134969325;;
1124;Sola;2025;222;79392.0;173519.0;34875000.0;8820000.0;13453000.0;5000000.0;14697000.0;439.2759975816203;111.09431680773882;169.45032245062475;158.73135832325676;62.97863764611044;84.69965825068148;502.2546352277308;586.9542934784123;7373000.0;92.86829907295446;0.970161399701614;1.1962566119625662;;
1127;Randaberg;2025;222;30118.0;71912.0;20073000.0;5006000.0;7848000.0;2684000.0;4417000.0;666.4785178298691;166.21289594262566;260.5750713858822;239.69055050136132;89.11614317019722;61.42229391478474;755.5946610000664;817.0169549148511;4937000.0;163.9219071651504;1.0;1.0139760988454527;;
1130;Strand;2025;222;43427.0;67651.0;21675000.0;6078000.0;6801000.0;1624000.0;5281000.0;499.11345476316575;139.95901167476455;156.60764040804108;202.54680268036014;37.396089990098325;78.06240853793736;536.5095447532641;614.5719532912015;4533000.0;104.38206645635204;1.0;1.340833884844474;;
1133;Hjelmeland;2025;222;11589.0;26169.0;9205000.0;1411000.0;4288000.0;1472000.0;2321000.0;794.2876865993615;121.75338683234101;370.0060402105445;302.528259556476;127.01699887824661;88.69272803699033;921.3046854776081;1009.9974135145985;89000.0;7.679696263698335;1.0;15.85393258426966;;kwh_urimelig_lav|implisitt_pris_utenfor
1134;Suldal;2025;222;15556.0;43077.0;10362000.0;2384000.0;3253000.0;1502000.0;1383000.0;666.1095397274364;153.25276420673694;209.11545384417587;303.7413216765235;96.55438416045256;32.10529981196462;762.6639238878889;794.7692236998536;1778000.0;114.29673437901774;1.0;1.3408323959505062;;
1135;Sauda;2025;222;13153.0;26048.0;9445000.0;2456000.0;3650000.0;449000.0;721000.0;718.0871284117692;186.72546187181632;277.50323120200716;253.8584353379457;34.13669885197293;27.679668304668304;752.2238272637421;779.9034955684104;1803000.0;137.07899338553943;1.0;1.3621741541874652;;
1144;Kvitsøy;2025;222;1770.0;6644.0;1430000.0;324000.0;526000.0;61000.0;285000.0;807.909604519774;183.05084745762713;297.17514124293785;327.683615819209;34.463276836158194;42.895845875978324;842.3728813559322;885.2687272319106;228000.0;128.8135593220339;1.0;1.4210526315789473;;
1145;Bokn;2025;222;2770.0;11203.0;1666000.0;466000.0;659000.0;27000.0;514000.0;601.4440433212997;168.23104693140795;237.90613718411552;195.30685920577616;9.747292418772563;45.880567705078995;611.1913357400722;657.0719034451512;66000.0;23.826714801444044;1.0;7.0606060606060606;;kwh_urimelig_lav|implisitt_pris_utenfor
1146;Tysvær;2025;222;36030.0;86815.0;29402000.0;5038000.0;10056000.0;3493000.0;8131000.0;816.0421870663337;139.8279211767971;279.1007493755204;397.1135165140161;96.94698862059396;93.65892990842596;912.9891756869275;1006.6481055953535;3142000.0;87.20510685539828;0.9010184595798855;1.603437301082113;;
1149;Karmøy;2025;222;106780.0;185095.0;71503000.0;13894000.0;21394000.0;16405000.0;8607000.0;669.6291440344634;130.11799962539803;200.355871886121;339.15527252294436;153.63363925828807;46.50044571706421;823.2627832927515;869.7632290098156;9198000.0;86.13972654055067;0.8836703631224179;1.5105457708197436;;
1151;Utsira;2025;222;900.0;3099.0;697000.0;120000.0;177000.0;103000.0;156000.0;774.4444444444445;133.33333333333334;196.66666666666666;444.44444444444446;114.44444444444444;50.33881897386254;888.8888888888889;939.2277078627515;102000.0;113.33333333333333;1.0;1.1764705882352942;;
1160;Vindafjord;2025;222;25014.0;57021.0;15370000.0;4319000.0;5329000.0;1860000.0;2883000.0;614.4559046933717;172.66330854721355;213.04069720956264;228.7518989365955;74.35835931878148;50.56031988214868;688.8142640121532;739.3745838943018;2772000.0;110.8179419525066;1.0;1.558080808080808;;
1505;Kristiansund;2025;222;56596.0;122618.0;35038000.0;4656000.0;12999000.0;978000.0;18018000.0;619.0896883171955;82.26729804226447;229.68054279454378;307.1418474803873;17.28037317124885;146.94416806667863;636.3700614884444;783.3142295551231;16860000.0;297.9009117252103;1.0;0.2761565836298932;;implisitt_pris_utenfor
1506;Molde;2025;222;80632.0;172738.0;44717000.0;6736000.0;16773000.0;2610000.0;18508000.0;554.5813076694117;83.54003373350531;208.01914872507194;263.0221252108344;32.36928266693124;107.14492468362491;586.9505903363429;694.0955150199678;7015000.0;87.00019843238417;1.0;0.9602280826799715;;
1508;Ålesund;2025;222;134240.0;236304.0;73507000.0;11530000.0;19173000.0;21259000.0;10649000.0;547.5789630512514;85.89094159713945;142.82628128724673;318.86174016686533;158.3656138259833;45.06483174216264;705.9445768772348;751.0094086193974;11736000.0;87.42550655542313;1.0;0.9824471710974777;;
1511;Vanylven;2025;222;10731.0;23544.0;5535000.0;1365000.0;1597000.0;741000.0;2000.0;515.7953592395862;127.20156555772994;148.82117230453827;239.77262137731805;69.05227844562482;0.08494733265375468;584.8476376852111;584.9325850178649;1603000.0;149.38030006523158;1.0;0.8515283842794759;;
1514;Sande;2025;222;8064.0;19059.0;5416000.0;850000.0;1644000.0;222000.0;1054000.0;671.6269841269841;105.40674603174604;203.86904761904762;362.3511904761905;27.529761904761905;55.301957080644314;699.156746031746;754.4587031123904;1072000.0;132.93650793650792;1.0;0.7929104477611941;;
